time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070923:1200,20.25,67.9,614,763.87,139,373.2,4.28,206,101879
20070923:1300,19.99,70.05,193,1.73,192,395.05,3.86,208,101819
20070923:1400,19.81,70.45,355,260.19,227,390.85,3.79,208,101759
20070923:1500,19.91,68.75,323,548.34,118,372.2,3.72,206,101709
20070923:1600,19.74,69.95,188,508.05,71,354,3.03,202,101689
20070923:1700,18.96,72.75,33,98.52,26,357.8,2.69,192,101649
20070923:1800,17.92,75.45,0,0,0,361.8,2.69,187,101639
20070923:1900,17.15,77,0,0,0,338,2.83,180,101639
20070923:2000,16.53,78.5,0,0,0,338.8,2.9,183,101639
20070923:2100,16.12,78.4,0,0,0,340.6,2.97,185,101609
20070923:2200,15.98,76.75,0,0,0,349.2,3.1,184,101549
20070923:2300,15.94,75.05,0,0,0,356.8,3.24,185,101479
20070924:0000,15.56,75.95,0,0,0,345.2,3.24,186,101439
20070924:0100,15.4,76.55,0,0,0,349.05,3.45,184,101360
20070924:0200,14.94,78.95,0,0,0,325.8,3.79,182,101250
20070924:0300,14.88,79.5,0,0,0,330.2,4.28,182,101180
20070924:0400,15,79.15,0,0,0,339.2,4.62,183,101080
20070924:0500,14.78,80.5,0,0,0,324.4,4.9,184,101000
20070924:0600,14.69,81.4,50,224.46,30,321,5.45,186,100950
20070924:0700,15.82,81.3,206,567.4,66,363.4,6.14,191,100910
20070924:0800,16.32,79.25,230,131.71,179,356.4,5.79,189,100830
20070924:0900,17.34,76.1,88,0,88,337.4,7.1,190,100761
20070924:1000,17.7,75.95,264,27.58,248,346.4,8.07,197,100801
20070924:1100,17.76,74.7,92,0,92,372,8.62,208,100830
20070924:1200,16,80.7,99,0,99,384.8,7.31,237,100930
20070924:1300,14.33,75,231,12.26,224,374.8,5.31,248,100960
20070924:1400,14.02,71.65,328,201.63,230,358.6,4.28,235,100990
20070924:1500,14.79,67,312,513.93,123,334.2,4.76,236,101030
20070924:1600,15.46,61.8,154,281.16,91,304.2,4.62,241,101060
20070924:1700,14.95,62.1,18,15.44,17,304.6,3.93,236,101110
20070924:1800,14.23,63.5,0,0,0,316,3.79,232,101140
20070924:1900,13.55,68.2,0,0,0,300,4,234,101170
20070924:2000,12.92,71.35,0,0,0,296,4.07,230,101180
20070924:2100,12.44,74.4,0,0,0,291.6,4.28,228,101190
20070924:2200,12.17,77.45,0,0,0,298,4.48,230,101170
20070924:2300,11.95,81.05,0,0,0,309,4.62,230,101200
20070925:0000,11.55,83.85,0,0,0,304.8,4.69,229,101200
20070925:0100,11.09,85.8,0,0,0,295.8,4.62,227,101180
20070925:0200,10.86,86.1,0,0,0,293,4.55,228,101170
20070925:0300,10.65,86.5,0,0,0,293.8,4.41,228,101170
20070925:0400,10.46,87.2,0,0,0,296.4,4.41,226,101150
20070925:0500,10.27,88,0,0,0,297.6,4.28,224,101150
20070925:0600,10.28,87.85,40,117.96,30,300.8,4.28,223,101150
20070925:0700,10.76,89.2,196,511.69,72,290.4,4,221,101170
20070925:0800,12.16,81.3,338,598.42,109,301.4,6.21,228,101170
20070925:0900,13.17,75.05,155,2.02,154,317.4,6.07,235,101180
20070925:1000,14.37,67.9,400,213.82,277,319.8,5.38,238,101210
20070925:1100,14.97,66.6,557,571.32,206,322,4.83,239,101210
20070925:1200,15.39,65.2,510,422.32,252,318.6,4.41,242,101170
20070925:1300,15.74,64.95,518,599.89,179,319.2,4.07,246,101160
20070925:1400,15.97,66.3,453,693.62,120,329.4,3.66,250,101140
20070925:1500,15.3,69.4,301,481.13,127,325.2,3.17,251,101110
20070925:1600,13.79,76.3,131,174.43,93,322.2,2.83,257,101140
20070925:1700,13.21,80.6,30,170.93,20,319.2,1.79,258,101140
20070925:1800,12.52,83.8,0,0,0,322,1.86,236,101190
20070925:1900,11.65,85.25,0,0,0,304.8,2.14,259,101270
20070925:2000,10.73,89.85,0,0,0,296,2.21,278,101310
20070925:2100,10.39,93.4,0,0,0,313.4,1.72,279,101320
20070925:2200,10.03,94.85,0,0,0,310.8,1.66,267,101310
20070925:2300,9.58,95.65,0,0,0,301.4,1.86,268,101340
20070926:0000,9.3,95.75,0,0,0,297.2,1.93,278,101380
20070926:0100,9.2,95.35,0,0,0,298.2,2,296,101409
20070926:0200,9.39,93.3,0,0,0,301.4,2.28,310,101389
20070926:0300,9.56,92,0,0,0,306.6,2.34,314,101380
20070926:0400,9.76,90.4,0,0,0,314.6,2.34,306,101370
20070926:0500,9.65,89.55,0,0,0,308,2.48,298,101380
20070926:0600,9.7,89.55,32,62.16,27,317.8,2.55,299,101409
20070926:0700,9.9,91.45,59,0,59,312.6,2.76,301,101380
20070926:0800,10.96,90.55,77,0,77,310.8,3.17,317,101389
20070926:0900,11.67,91.65,253,61.04,223,326.8,3.38,324,101409
20070926:1000,12.46,89.1,57,0,57,330,4.28,336,101399
20070926:1100,12.21,83.15,97,0,97,336.6,5.31,345,101370
20070926:1200,12.56,85.25,87,0,87,316.4,5.03,345,101389
20070926:1300,11.44,80.25,121,0,121,339.8,4.62,344,101360
20070926:1400,10.85,81.85,109,0,109,326.8,4.21,347,101360
20070926:1500,10.36,86.35,110,2.81,109,331.4,3.59,342,101340
20070926:1600,10.73,85.35,116,118.13,91,332.6,3.72,338,101340
20070926:1700,10.45,85.9,28,191.44,18,305.8,3.66,347,101340
20070926:1800,9.98,87.05,0,0,0,301,3.45,354,101340
20070926:1900,9.5,86.4,0,0,0,299.8,2.69,353,101409
20070926:2000,9.25,86.3,0,0,0,301.8,2.55,351,101409
20070926:2100,9.11,85.4,0,0,0,303.6,2.55,353,101419
20070926:2200,9.16,84.2,0,0,0,311.8,2.69,357,101380
20070926:2300,9.03,84.35,0,0,0,304.6,2.83,0,101360
20070927:0000,9.02,85.3,0,0,0,305,2.97,7,101330
20070927:0100,8.66,88.05,0,0,0,287,2.97,11,101320
20070927:0200,8.4,90.55,0,0,0,284,2.9,14,101300
20070927:0300,8.11,92.55,0,0,0,277.4,2.83,16,101300
20070927:0400,8.03,93.9,0,0,0,282.4,2.83,18,101310
20070927:0500,7.97,95.05,0,0,0,282.8,2.83,21,101330
20070927:0600,8.18,95.65,39,170.86,26,296.8,2.9,22,101330
20070927:0700,9.46,94.4,165,321.26,90,336.4,3.79,18,101350
20070927:0800,10.54,89.65,301,436.42,138,333,4.69,23,101340
20070927:0900,11.75,83.7,464,721.26,113,334.4,5.31,28,101340
20070927:1000,13.1,73.95,488,488.32,212,339,5.72,29,101300
20070927:1100,14.16,66.6,515,458.74,238,325.4,5.93,28,101260
20070927:1200,15.15,60.15,524,500.12,224,306.8,6.21,30,101210
20070927:1300,15.59,57.5,489,529.27,196,321,6.28,28,101170
20070927:1400,15.59,58.4,112,0,112,322.2,5.86,22,101140
20070927:1500,15.32,61.2,177,65.83,154,328.2,5.66,15,101070
20070927:1600,14.73,65.4,80,24.34,75,336.2,5.38,11,101050
20070927:1700,14.12,67.65,11,0,11,336.8,5.31,13,101060
20070927:1800,13.65,69.2,0,0,0,344,5.38,14,101050
20070927:1900,12.97,74.05,0,0,0,331.6,5.38,15,101070
20070927:2000,12.66,76.05,0,0,0,336.4,5.45,17,101050
20070927:2100,12.38,77.45,0,0,0,336.6,5.38,16,101000
20070927:2200,12.02,79.2,0,0,0,318.4,5.24,13,100930
20070927:2300,11.96,80.3,0,0,0,338,5.24,12,100870
20070928:0000,11.96,81.2,0,0,0,349.8,5.17,12,100821
20070928:0100,11.89,82.5,0,0,0,349.05,4.97,9,100781
20070928:0200,11.94,83.65,0,0,0,352.4,4.83,5,100721
20070928:0300,11.82,86.7,0,0,0,352.6,4.9,4,100641
20070928:0400,11.75,90.3,0,0,0,358.2,4.62,6,100571
20070928:0500,11.82,90.8,0,0,0,356.6,4.34,2,100511
20070928:0600,11.98,90.4,21,13.94,20,357.2,4.55,355,100451
20070928:0700,11.82,92.35,55,0,55,358.4,3.31,346,100361
20070928:0800,11.96,94.2,41,0,41,364.4,2.69,2,100311
20070928:0900,12.46,91.75,71,0,71,369,3.1,46,100311
20070928:1000,13,90.9,180,1.79,179,370.2,3.17,77,100351
20070928:1100,13.89,87.35,137,0,137,356.2,2.62,95,100371
20070928:1200,14.66,82.6,121,0,121,345.8,2.41,107,100381
20070928:1300,15.82,72.1,94,0,94,353.6,2.62,94,100411
20070928:1400,16.21,67.85,70,0,70,354.2,3.03,80,100431
20070928:1500,15.84,70.95,97,0,97,370.6,2.41,72,100451
20070928:1600,15.47,74.95,74,20.08,70,361.4,1.86,62,100491
20070928:1700,14.81,78.75,11,0,11,340.6,1.86,48,100531
20070928:1800,13.54,84.15,0,0,0,322.6,2,43,100581
20070928:1900,12.8,88.95,0,0,0,328.2,1.86,25,100621
20070928:2000,12.21,92.15,0,0,0,331,1.59,20,100641
20070928:2100,11.34,95.45,0,0,0,325.8,1.31,1,100651
20070928:2200,10.75,96.3,0,0,0,322.8,1.24,334,100681
20070928:2300,10.44,97.25,0,0,0,325.6,1.17,310,100691
20070929:0000,10,98.65,0,0,0,330.8,1.24,268,100701
20070929:0100,9.63,99.45,0,0,0,326.25,1.52,245,100711
20070929:0200,9.69,98.9,0,0,0,323.4,1.79,244,100701
20070929:0300,10.24,97.45,0,0,0,332.4,1.93,249,100671
20070929:0400,10.4,96.75,0,0,0,324.6,2.07,250,100681
20070929:0500,10.19,97.05,0,0,0,313.4,2.14,245,100681
20070929:0600,10.19,97.35,12,0,12,323.2,2.41,230,100711
20070929:0700,11.32,97.55,86,22.27,81,364.6,2.07,232,100781
20070929:0800,11.77,97.5,82,0,82,364.2,2.41,234,100811
20070929:0900,12.41,97.3,60,0,60,364.8,2,248,100860
20070929:1000,13.12,96.75,100,0,100,368.8,1.66,267,100870
20070929:1100,13.25,96.15,123,0,123,371.8,1.24,283,100910
20070929:1200,13.53,94.6,52,0,52,370,1.38,292,100970
20070929:1300,14,92.15,114,0,114,363.6,1.79,307,101010
20070929:1400,14.19,89.45,158,4.38,156,358,2.07,304,101040
20070929:1500,14.36,87.85,59,0,59,360.2,2.62,301,101060
20070929:1600,14.08,85.9,67,15.55,64,349.2,2.9,306,101140
20070929:1700,13.61,85.6,0,0,0,341,2.55,307,101200
20070929:1800,12.87,87.3,0,0,0,338.8,2.41,302,101280
20070929:1900,12.42,90.05,0,0,0,339.4,2.14,283,101380
20070929:2000,11.84,91.85,0,0,0,326.8,2.28,278,101419
20070929:2100,11.06,93.35,0,0,0,304,2.28,277,101489
20070929:2200,10.67,94,0,0,0,306.6,2.21,271,101529
20070929:2300,10.53,94.5,0,0,0,317.8,2.14,263,101579
20070930:0000,10.24,94.95,0,0,0,311.2,2.14,256,101609
20070930:0100,9.89,95.25,0,0,0,301.8,2.14,255,101669
20070930:0200,9.75,95.4,0,0,0,309.4,2,257,101689
20070930:0300,9.15,95.9,0,0,0,288,2.07,255,101709
20070930:0400,8.83,96.4,0,0,0,298,1.93,238,101729
20070930:0500,8.19,97.05,0,0,0,285.2,2.07,223,101789
20070930:0600,7.69,98.7,29,127.11,21,292.4,1.93,217,101899
20070930:0700,9.22,98.1,138,209.11,92,315.8,1.52,228,101978
20070930:0800,10.9,97.25,286,419.99,135,329.4,1.31,230,102028
20070930:0900,12.42,95.5,431,622.8,137,344.8,1.17,222,102098
20070930:1000,13.94,80.35,479,505.52,201,321.4,1.59,241,102108
20070930:1100,14.87,71.85,515,506.98,217,331.6,1.31,236,102118
20070930:1200,15.49,66.25,378,157.78,286,336.6,0.76,243,102108
20070930:1300,16.01,62.55,403,292.82,246,355.2,0.28,261,102108
20070930:1400,16.02,61.35,245,79.97,209,369.8,0.14,37,102108
20070930:1500,16.16,61.2,234,271.89,144,368.6,0.76,79,102138
20070930:1600,13.66,72.66,149,497.93,56,352.71,1.42,91,102158
20070930:1700,13.79,74,0,0,0,352.45,1.62,74,102158
20070930:1800,13.92,75.34,0,0,0,352.18,1.83,73,102198
20070930:1900,14.05,76.67,0,0,0,351.92,2.03,69,102208
20070930:2000,14.18,78.01,0,0,0,351.65,2.24,69,102258
20070930:2100,14.31,79.34,0,0,0,351.38,2.45,69,102288
20070930:2200,14.44,80.68,0,0,0,351.12,2.65,71,102238
20070930:2300,14.57,82.02,0,0,0,350.85,2.86,76,102228
20061001:0000,14.7,83.35,0,0,0,350.58,3.06,164,100581
20061001:0100,14.82,84.69,0,0,0,350.32,3.27,173,100581
20061001:0200,14.95,86.02,0,0,0,350.05,3.48,183,100541
20061001:0300,15.08,87.36,0,0,0,349.78,3.68,196,100551
20061001:0400,15.21,88.7,0,0,0,349.52,3.89,204,100541
20061001:0500,15.34,90.03,0,0,0,349.25,4.09,203,100541
20061001:0600,15.47,91.37,21,51.26,18,348.98,4.3,194,100571
20061001:0700,15.6,92.71,129,176.38,91,348.72,4.51,198,100591
20061001:0800,16.53,81,175,59.18,154,329,4.48,199,100621
20061001:0900,17.01,80.3,134,0,134,337.4,4.9,199,100611
20061001:1000,17.84,77.7,447,411.18,223,346.8,6,208,100601
20061001:1100,18.54,76,366,139.08,285,347.8,5.59,206,100551
20061001:1200,19.67,71.15,115,0,115,347,5.86,205,100561
20061001:1300,19.83,69.8,267,49.03,241,344.6,6,201,100551
20061001:1400,18.13,75.35,295,193.62,209,346.8,6.21,205,100481
20061001:1500,18.17,78.9,177,95.42,146,340,3.79,208,100381
20061001:1600,17.28,82.85,97,121.83,75,345,4.48,215,100411
20061001:1700,16.21,85.35,0,0,0,346,4.28,214,100411
20061001:1800,16.04,84.1,0,0,0,343.8,4.34,207,100431
20061001:1900,16.46,74.05,0,0,0,327.6,4.83,203,100461
20061001:2000,16.35,72.75,0,0,0,324.6,4.76,205,100461
20061001:2100,16.32,71.2,0,0,0,333.8,4.76,210,100471
20061001:2200,15.93,72.15,0,0,0,332.6,5.03,212,100391
20061001:2300,15.13,76.75,0,0,0,322.2,5.24,212,100391
20061002:0000,14.92,78.05,0,0,0,336.8,5.79,213,100391
20061002:0100,14.71,78.8,0,0,0,331.65,6.21,213,100391
20061002:0200,14.48,79.65,0,0,0,328.8,6.14,214,100361
20061002:0300,14.48,79.3,0,0,0,333.8,6.14,216,100361
20061002:0400,14.6,78.75,0,0,0,343.4,6.21,217,100361
20061002:0500,14.65,78.35,0,0,0,343.8,6.21,218,100361
20061002:0600,14.61,79,8,0,8,341,6.28,218,100401
20061002:0700,14.96,78,61,4.74,60,329.4,6.14,219,100431
20061002:0800,15.48,77.2,101,0,101,352.4,5.59,218,100451
20061002:0900,16,75.05,123,0,123,352.4,7.03,223,100471
20061002:1000,16.64,73.4,277,55.6,247,338.4,6.9,222,100431
20061002:1100,17.39,70.9,282,41.6,258,343.4,6.97,220,100451
20061002:1200,18.02,69.2,406,232.58,273,345,6.76,218,100451
20061002:1300,17.86,70.6,418,369.89,224,343.8,6.62,223,100361
20061002:1400,18.17,70.45,206,38.8,189,351.8,5.72,225,100321
20061002:1500,16.93,72.95,131,21.96,124,364.8,5.03,226,100301
20061002:1600,16.46,76.1,41,0,41,348.2,5.03,221,100262
20061002:1700,16.13,75.7,0,0,0,350.2,4.97,215,100242
20061002:1800,15.81,75.95,0,0,0,345,5.1,211,100212
20061002:1900,15.38,77.8,0,0,0,342.8,5.31,210,100202
20061002:2000,15.16,77.65,0,0,0,344.4,5.59,210,100152
20061002:2100,15.05,77.1,0,0,0,350.4,5.52,211,100152
20061002:2200,14.78,77.85,0,0,0,345.2,5.24,211,100092
20061002:2300,14.47,79.45,0,0,0,338.8,4.97,213,100072
20061003:0000,14.37,80.4,0,0,0,349.6,4.69,214,100032
20061003:0100,14.23,81.8,0,0,0,350.25,4,216,99982
20061003:0200,14.03,83.6,0,0,0,348,3.79,216,99902
20061003:0300,13.91,84.85,0,0,0,349.6,3.59,216,99902
20061003:0400,13.63,86.9,0,0,0,343,3.03,218,99902
20061003:0500,13.24,89.6,0,0,0,331.6,2.83,221,99852
20061003:0600,12.75,92.7,9,0,9,321.6,2.41,222,99872
20061003:0700,13.25,92.7,90,48.47,80,342.4,2.07,233,99852
20061003:0800,14.03,89.55,147,28.96,137,319.8,2.28,242,99852
20061003:0900,14.95,83,304,194.64,215,325.4,2.9,264,99862
20061003:1000,15.82,77,377,232.03,253,329,2.83,277,99862
20061003:1100,16.27,72.4,468,400.66,239,343.8,2.9,297,99872
20061003:1200,16.42,70.85,405,238.44,270,343.8,3.03,303,99882
20061003:1300,16.1,70,305,106.05,250,345.2,3.45,307,99832
20061003:1400,15.74,68.95,109,0,109,349.4,3.86,307,99952
20061003:1500,15.32,67.75,92,0,92,342.2,4.14,305,100002
20061003:1600,14.78,69.7,79,71.32,67,345.8,4.34,298,100042
20061003:1700,14.15,70.95,0,0,0,330.4,3.72,289,100092
20061003:1800,13.78,71.15,0,0,0,331.4,3.45,275,100172
20061003:1900,13.32,73.15,0,0,0,323.2,3.24,258,100232
20061003:2000,13.28,72.05,0,0,0,339,3.45,256,100291
20061003:2100,12.82,73.6,0,0,0,324.6,3.45,250,100341
20061003:2200,12.31,76.75,0,0,0,317.6,3.38,249,100371
20061003:2300,12.12,78.2,0,0,0,330,3.31,242,100461
20061004:0000,11.79,81.2,0,0,0,325.2,3.31,240,100471
20061004:0100,11.82,82.8,0,0,0,339.05,3.31,242,100521
20061004:0200,11.49,85.3,0,0,0,320.4,3.31,242,100521
20061004:0300,11.35,86.9,0,0,0,328.4,3.17,243,100561
20061004:0400,11.02,89.05,0,0,0,322.2,3.1,240,100581
20061004:0500,11.09,88.5,0,0,0,333,2.97,238,100611
20061004:0600,10.82,89.65,7,0,7,316.6,3.03,240,100661
20061004:0700,11.38,94.25,39,0,39,333.4,2.83,247,100711
20061004:0800,12.25,90.3,202,138,155,330.8,3.52,256,100771
20061004:0900,13.27,88.15,176,11.06,171,324.4,3.31,256,100821
20061004:1000,14.14,85.9,419,360.93,228,332.8,3.31,258,100840
20061004:1100,14.94,83.85,110,0,110,340.4,3.38,261,100900
20061004:1200,15.26,83.45,69,0,69,360.2,3.31,265,100930
20061004:1300,14.9,82.3,239,33.15,222,360.6,3.66,271,100950
20061004:1400,14.7,82.25,49,0,49,344.2,3.66,275,100960
20061004:1500,14.7,80.35,192,172.89,139,325.8,3.52,275,100990
20061004:1600,14.19,78.05,127,499.64,46,321.4,3.45,280,101020
20061004:1700,13.34,75.8,0,0,0,312,2.9,278,101080
20061004:1800,12.61,75.85,0,0,0,317.6,2.14,258,101140
20061004:1900,11.62,77.65,0,0,0,301.4,2.48,229,101200
20061004:2000,11.19,78.55,0,0,0,302.6,2.76,226,101250
20061004:2100,11.01,79.3,0,0,0,308,3.03,229,101270
20061004:2200,10.79,82.35,0,0,0,304.4,3.1,231,101290
20061004:2300,10.78,85.9,0,0,0,316.2,3.1,232,101300
20061005:0000,10.68,89.7,0,0,0,315.4,3.1,231,101320
20061005:0100,10.4,93.5,0,0,0,303.4,2.97,230,101340
20061005:0200,10.23,95.3,0,0,0,300,2.83,228,101320
20061005:0300,10,96.35,0,0,0,287.4,2.9,226,101360
20061005:0400,9.94,96.6,0,0,0,289.8,3.03,227,101370
20061005:0500,9.99,96.4,0,0,0,299.6,2.9,225,101370
20061005:0600,10.02,96.1,10,24.54,9,301.4,2.83,218,101409
20061005:0700,10.5,96.55,157,507.27,57,307.2,3.1,217,101449
20061005:0800,11.74,90.6,177,80.41,150,326.2,4.62,222,101489
20061005:0900,13.11,83.1,411,648.41,121,333,4.76,224,101499
20061005:1000,14.21,74.05,502,717.64,126,341.4,4.9,223,101489
20061005:1100,15.09,69.75,389,210.48,271,331.8,5.1,222,101479
20061005:1200,15.5,72.7,324,100.93,268,349,5.1,216,101449
20061005:1300,15.09,76,210,15.78,202,355.8,5.03,214,101409
20061005:1400,14.62,80.95,65,0,65,360,5.1,217,101370
20061005:1500,14.46,82.3,183,156.42,136,361.2,5.24,216,101340
20061005:1600,14.23,81.75,67,51.28,59,358,5.38,214,101280
20061005:1700,13.98,81.05,0,0,0,363.8,5.52,211,101200
20061005:1800,13.95,79.65,0,0,0,365.2,5.86,211,101190
20061005:1900,13.8,84.25,0,0,0,366,6.28,213,101130
20061005:2000,13.43,86.95,0,0,0,365.8,6.55,214,101110
20061005:2100,13.53,88.2,0,0,0,365.8,6.62,217,101090
20061005:2200,13.85,89.9,0,0,0,374.4,6.55,222,101080
20061005:2300,14.15,89.4,0,0,0,372.8,6.41,224,101060
20061006:0000,14.44,88.6,0,0,0,370.4,6.21,224,101040
20061006:0100,14.69,87.45,0,0,0,375.65,6.14,224,101020
20061006:0200,14.82,86.3,0,0,0,369.6,5.93,223,100980
20061006:0300,14.9,85.35,0,0,0,373,5.79,221,100950
20061006:0400,14.92,84.8,0,0,0,375,5.66,218,100900
20061006:0500,14.95,83.95,0,0,0,374.2,5.72,216,100860
20061006:0600,15,82.9,0,0,0,375.4,5.86,214,100850
20061006:0700,15.16,83.8,80,36.36,73,378.6,6.34,210,100821
20061006:0800,15.43,82.85,58,0,58,382.8,6.69,211,100811
20061006:0900,15.81,82,83,0,83,383.4,6.76,211,100801
20061006:1000,16.32,81.2,133,0,133,385.6,5.79,205,100761
20061006:1100,16.76,78.7,144,0,144,381.6,7.17,206,100671
20061006:1200,17.73,72.95,145,0,145,370.6,8.69,211,100591
20061006:1300,17.92,75,110,0,110,376.4,6.62,204,100481
20061006:1400,17.94,75.6,74,0,74,373.6,7.17,202,100351
20061006:1500,16.98,82.1,152,78.13,129,375,7.24,201,100252
20061006:1600,16.52,84.15,83,146.75,61,377.2,7.1,199,100122
20061006:1700,16.29,86.75,0,0,0,374.4,6.9,206,100072
20061006:1800,16.02,90.15,0,0,0,387.6,6.55,226,100122
20061006:1900,15.37,88.95,0,0,0,380.4,6.55,236,100192
20061006:2000,14.67,85.55,0,0,0,356.2,5.86,233,100172
20061006:2100,13.95,85.3,0,0,0,320.2,5.86,228,100192
20061006:2200,13.66,85.45,0,0,0,320,6,228,100152
20061006:2300,13.53,85.15,0,0,0,324.2,5.79,229,100202
20061007:0000,13.46,84.7,0,0,0,323.6,5.52,231,100242
20061007:0100,13.55,84.25,0,0,0,332.65,5.17,236,100291
20061007:0200,13.58,84.15,0,0,0,335.8,4.83,244,100351
20061007:0300,13.23,84.8,0,0,0,318.2,4.55,253,100461
20061007:0400,12.78,85.3,0,0,0,312.4,4.62,261,100561
20061007:0500,12.61,83.7,0,0,0,324.8,4.76,265,100681
20061007:0600,12.28,82,0,0,0,315,4.9,267,100801
20061007:0700,12.21,83.85,50,0,50,310.6,4.83,269,100920
20061007:0800,12.57,79.55,294,665.36,77,287,5.17,270,101060
20061007:0900,13.35,71.3,289,189.86,206,301.4,6.41,274,101180
20061007:1000,13.97,65.25,413,385.66,215,293.8,7.17,281,101280
20061007:1100,14.56,61.05,122,0,122,327.8,6.83,284,101370
20061007:1200,14.83,58.45,190,3.68,188,329.2,6.07,282,101419
20061007:1300,14.98,57.65,304,131.27,239,328,5.45,278,101499
20061007:1400,15.14,56.5,311,335.64,174,349.6,5.03,274,101539
20061007:1500,15.21,56.1,254,624.25,74,347.2,4.41,277,101649
20061007:1600,14.8,59.45,106,417.06,46,341,3.1,267,101699
20061007:1700,14.21,61.35,0,0,0,338.8,2.69,254,101739
20061007:1800,13.22,65.65,0,0,0,319.8,2.62,236,101799
20061007:1900,12.94,69.2,0,0,0,341,2.76,224,101849
20061007:2000,12.63,70.65,0,0,0,338,2.76,218,101879
20061007:2100,12.48,71.05,0,0,0,340.4,3.03,215,101919
20061007:2200,11.88,73.2,0,0,0,315.8,3.24,215,101919
20061007:2300,11.65,74.25,0,0,0,318.6,3.31,217,101919
20061008:0000,11.4,76.2,0,0,0,316.8,3.24,217,101949
20061008:0100,10.9,79.5,0,0,0,300.4,3.03,216,101958
20061008:0200,10.46,82.6,0,0,0,292.8,2.9,214,101949
20061008:0300,10.5,83.1,0,0,0,311.4,2.76,213,101958
20061008:0400,10.36,84.3,0,0,0,309.4,2.69,211,101939
20061008:0500,10.21,85.25,0,0,0,309.6,2.76,209,101949
20061008:0600,9.87,86.95,0,0,0,299.8,2.83,207,101949
20061008:0700,10.18,91.4,127,327.47,67,309.6,2.69,205,101958
20061008:0800,11.46,85.95,247,382.83,124,317.8,2.9,205,101978
20061008:0900,13.03,80.25,383,571.62,136,305.4,2.9,204,101988
20061008:1000,14.42,74.9,477,671.11,136,299.2,2.97,202,101978
20061008:1100,15.47,68.15,533,758.99,120,308.2,3.17,201,101958
20061008:1200,16.18,61.4,505,660.18,150,305.8,3.24,196,101889
20061008:1300,16.53,58.9,451,629.45,143,318.8,3.03,182,101819
20061008:1400,16.6,58.3,302,318.25,174,322,3.03,166,101769
20061008:1500,16.48,58.95,220,407.34,105,314.4,2.97,155,101709
20061008:1600,15.82,63.95,78,166.86,55,307.8,2.41,147,101669
20061008:1700,14.54,68.65,0,0,0,309.2,2.41,141,101629
20061008:1800,13.2,73.8,0,0,0,297.8,2.62,141,101609
20061008:1900,12.37,78.15,0,0,0,291.6,2.83,140,101589
20061008:2000,11.69,81.15,0,0,0,285.6,2.83,149,101559
20061008:2100,11.11,83.75,0,0,0,283.2,2.83,158,101539
20061008:2200,10.68,85.25,0,0,0,282.4,2.83,165,101519
20061008:2300,10.39,85.75,0,0,0,282.4,2.83,167,101479
20061009:0000,10.19,86.3,0,0,0,282.4,2.83,171,101469
20061009:0100,10,87.35,0,0,0,284,2.76,176,101439
20061009:0200,9.79,88.85,0,0,0,285,2.69,179,101429
20061009:0300,9.59,90.25,0,0,0,283.4,2.69,178,101409
20061009:0400,9.5,91.3,0,0,0,285.2,2.76,178,101389
20061009:0500,9.56,91.8,0,0,0,293.6,2.83,179,101409
20061009:0600,9.72,91.9,0,0,0,303.2,2.9,182,101419
20061009:0700,10.41,93.05,135,436.84,57,306,2.9,186,101459
20061009:0800,12.16,87.85,279,622.58,82,315.4,3.17,187,101499
20061009:0900,14.18,81.4,171,14.05,165,317.8,3.52,190,101519
20061009:1000,15.83,76.75,480,708.02,124,328,3.52,197,101519
20061009:1100,17.37,72.65,308,92.83,258,337.6,3.52,203,101549
20061009:1200,18.28,71,194,5.64,191,342.4,3.31,204,101559
20061009:1300,19.12,69.9,286,113.76,231,343.2,3.17,206,101569
20061009:1400,19.53,70.1,270,219.56,183,350.2,3.03,209,101579
20061009:1500,19.67,70.95,65,0,65,361,2.9,213,101589
20061009:1600,19.19,75.05,57,53.09,50,369.8,2,208,101609
20061009:1700,18.15,79.85,0,0,0,374.4,2,189,101659
20061009:1800,17.62,82.5,0,0,0,391.05,1.93,181,101709
20061009:1900,16.87,88.3,0,0,0,380.6,2.07,196,101749
20061009:2000,16.49,90.5,0,0,0,380,2,198,101779
20061009:2100,16.11,92.45,0,0,0,376,1.86,199,101799
20061009:2200,15.71,94,0,0,0,370.2,1.66,204,101829
20061009:2300,15.25,95.45,0,0,0,364.6,1.52,203,101849
20061010:0000,14.83,96.6,0,0,0,363.4,1.45,189,101829
20061010:0100,14.6,97.5,0,0,0,371.05,1.31,159,101839
20061010:0200,14.32,97.85,0,0,0,364.2,1.38,145,101799
20061010:0300,14.33,97.65,0,0,0,369.2,1.38,153,101819
20061010:0400,14.26,96.75,0,0,0,367.2,1.45,168,101809
20061010:0500,14.37,96.75,0,0,0,376.6,1.31,169,101809
20061010:0600,14.32,97.2,0,0,0,375.4,1.17,157,101829
20061010:0700,14.54,96.6,48,0,48,371,1.45,131,101839
20061010:0800,15.64,94.05,37,0,37,365.8,1.45,132,101849
20061010:0900,16.86,90.55,108,0,108,355.2,1.45,129,101849
20061010:1000,18.02,85.9,140,0,140,348.6,1.52,130,101819
20061010:1100,19.16,78.6,326,125.68,259,343.6,1.59,142,101789
20061010:1200,20.05,73,319,121.6,255,345.8,1.31,146,101759
