time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180329:1000,7.49,72.1,473,289.33,295,281.6,3.45,224,100401
20180329:1100,8.51,69.15,211,0,211,274.4,3.45,216,100381
20180329:1200,9.37,66.8,115,0,115,287.8,3.59,208,100361
20180329:1300,10.01,62.65,574,521.13,243,264.4,3.45,201,100311
20180329:1400,10.55,54.5,506,541.83,203,266.6,3.72,196,100242
20180329:1500,10.9,48.5,292,169.53,216,277.8,3.86,192,100152
20180329:1600,10.95,45.9,194,174.22,140,290.8,3.72,186,100082
20180329:1700,10,51.2,65,52.07,57,306.2,3.52,176,100082
20180329:1800,8.64,56.75,0,0,0,291.4,3.1,167,100102
20180329:1900,7.61,67.75,0,0,0,310.6,3.17,161,100122
20180329:2000,6.77,76.2,0,0,0,309.6,3.38,170,100152
20180329:2100,6.32,83.05,0,0,0,321,3.24,176,100132
20180329:2200,6.12,87.15,0,0,0,321.8,3.17,178,100142
20180329:2300,6.22,87.95,0,0,0,326,3.24,180,100112
20180330:0000,6.03,87.15,0,0,0,307.4,3.17,181,100082
20180330:0100,6.03,88.3,0,0,0,315.05,3.1,178,100042
20180330:0200,5.99,88.25,0,0,0,318.8,2.9,174,100002
20180330:0300,5.72,89.5,0,0,0,311.4,2.69,164,99972
20180330:0400,5.49,90.6,0,0,0,315.2,2.62,159,99912
20180330:0500,5.23,91.05,0,0,0,310.4,2.55,160,99892
20180330:0600,4.9,91.7,13,0,13,300.6,2.34,153,99892
20180330:0700,5.06,89.15,49,0,49,275.6,2.21,139,99852
20180330:0800,6.14,85.65,248,130.82,194,284.6,2.55,136,99802
20180330:0900,7.26,81,158,0,158,291.4,2.83,133,99762
20180330:1000,8.75,75.65,435,206.25,307,296.8,3.24,118,99683
20180330:1100,10.27,70.6,259,7.47,254,296.2,3.79,100,99563
20180330:1200,11.46,64.8,130,0,130,299.2,4.97,92,99473
20180330:1300,12.96,55.25,203,0,203,307.8,6.07,103,99363
20180330:1400,14.1,43.9,430,297.99,262,306.8,6.55,125,99243
20180330:1500,11.74,64.85,148,2.21,147,309.2,5.52,157,99253
20180330:1600,9.57,84.4,53,0,53,327,4,164,99283
20180330:1700,8.87,86.7,40,0,40,336,3.24,144,99263
20180330:1800,8.36,88.75,0,0,0,328.2,3.31,135,99293
20180330:1900,7.41,88.8,0,0,0,309.8,3.79,178,99343
20180330:2000,7.05,88.65,0,0,0,319.6,3.79,185,99383
20180330:2100,6.53,88.35,0,0,0,295.6,3.72,194,99393
20180330:2200,5.72,89.1,0,0,0,263.6,3.72,194,99483
20180330:2300,5.02,89.65,0,0,0,252.2,3.52,193,99503
20180331:0000,4.46,90,0,0,0,252.8,3.17,189,99493
20180331:0100,3.91,90.55,0,0,0,249,3.1,182,99513
20180331:0200,3.86,90.05,0,0,0,263.8,3.17,185,99503
20180331:0300,3.74,89.65,0,0,0,272.2,2.83,187,99493
20180331:0400,3.42,90.15,0,0,0,273.6,2.62,185,99503
20180331:0500,3.24,91,0,0,0,278,2.69,183,99553
20180331:0600,3.15,91.7,72,324.08,35,274,2.76,182,99583
20180331:0700,4.3,90.85,143,87.66,119,253.4,2.41,185,99623
20180331:0800,5.98,85.45,203,47.78,183,259,2.9,193,99673
20180331:0900,7.46,79.75,456,449.23,214,265,2.97,197,99703
20180331:1000,8.89,72.7,208,1.6,207,274.6,2.9,200,99722
20180331:1100,10.13,65.35,611,533.79,251,281.6,3.1,209,99712
20180331:1200,10.87,64.7,233,1.47,232,291.4,3.03,214,99742
20180331:1300,11.29,64.8,226,3.1,224,297.6,2.83,216,99762
20180331:1400,11.31,65.35,356,133.74,280,309.2,2.48,224,99722
20180331:1500,10.92,65,154,2.19,153,319.8,2.69,245,99762
20180331:1600,6.99,75.51,64,0,64,278.5,1.28,240,99802
20180331:1700,7.17,77.01,76,80.07,63,281.32,1.39,249,99842
20180331:1800,7.35,78.51,0,0,0,284.14,1.51,258,99902
20180331:1900,7.53,80.01,0,0,0,286.96,1.63,337,99942
20180331:2000,7.72,81.51,0,0,0,289.78,1.75,151,100022
20180331:2100,7.9,83.01,0,0,0,292.6,1.87,207,100042
20180331:2200,8.08,84.51,0,0,0,295.42,1.99,223,100082
20180331:2300,8.26,86.01,0,0,0,298.24,2.1,224,100112
20170401:0000,8.45,87.51,0,0,0,301.06,2.22,152,101000
20170401:0100,8.63,89.01,0,0,0,303.88,2.34,158,100940
20170401:0200,8.81,90.51,0,0,0,306.7,2.46,167,100890
20170401:0300,8.99,92.01,0,0,0,309.52,2.58,175,100870
20170401:0400,9.17,93.51,0,0,0,312.34,2.7,183,100840
20170401:0500,9.36,95.01,0,0,0,315.16,2.82,186,100870
